thousand,千、千の
deploy,兵力や資源を展開、配置すること。
instrument,楽器、機器、道具。音楽を奏でる道具や、専門的な作業に使用する機械。
recluse,世捨て人
clientele,顧客、常連客、得意先。
angular,角のある、鋭い形状の。
constitutional,構成上の
prejudice,偏見、先入観、差別
sultry,蒸し暑い
despondent,落胆した
take heart,勢い付く、元気になる
prevail,優勢になる、広まる
manipulate,操る、巧みに扱うこと。
discourage A from B,AがBするのをやめさせる
canny,抜け目のない
family,家族
additionally,加えて、さらに、追加で
gourmet,高級な料理や食材
displace,ずらす、にとって代わる
rafter,垂木
cleave,割る
tree,木
insure,事故や損失に備えて保険をかけること。
claimant,申立人
car,自動車
gut,腸、大腸、小腸
fate,人の運命や宿命。
lose out to,に負ける、で死ぬ
restitution,返却
sexist,男女差別主義者、男女間で不平等を支持する人、性差別主義者
anywhere,どこでも
when it rains it pours,泣きっ面に蜂
rub,こする、さする
embroider,刺繍する
submitting,提出や申請を行っている状態。
absence,欠席。ある場所にいないこと、出席していないこと。
crowd,群衆、人込み
interlude,間奏
protocol,公式な儀礼や手続き、協定。
utilization,利用、使用
resplendent,華やかな
contamination,汚染、汚染物質
merchant,商人、貿易業者
gaily,陽気に
health,健康
soak,液体に浸す、しみ込ませる
tongue,言語または舌の器官。
aisle,通路、列の間の通り道。特に店舗や劇場などの座席間の通路。
complexion,顔色、肌の色調
rump,臀部
excel,勝る、優れる、上回る
default,初期設定、債務不履行
horrify,怖がらせる、恐れさせる
safety,安全性。危険がない状態、または危険を回避するための措置を指します。
servile,奴隷の
team spirit,チームの一体感
from point of view,の視点から は
beyond description,言葉では表現できないほど
peace,平和
fig,イチジク
humidity,湿度、湿気
instead,代わりに、あるいはその代わりとして。何かを変更して別のものを選ぶことを意味します。
completion,完了、終了。タスクや作業が最後まで終わること。
actually,実際に起こった現実の事。
preponderance,優勢
come before,の前に現れる、先立って現れる
overcast,曇った
fund-raising,募金活動、資金集め
in line with,に従って、一致して、合致して
unconscious,無意識の、潜在意識の
replete,堪能した
perch,止まり木
japan,日本(アジアの島国)
crime,犯罪、違法行為
delayed,遅れた、延期された。
be afraid of,を恐れる
resilient,弾力性のある、柔軟な
mad,狂った、狂気じみた
prize,賞、報酬
concrete,具体的で明確な内容。
exact,何かが特定の基準に一致。
stately,風格のある
suggest,を提案する、を示唆する。何かを行うことを提案したり、ある考えを思わせたりすること。
sedentary,座りがちな
decipher,解読する、暗号を解く
differential,差分の、差別的な
crane,鶴、または建設用のクレーン。
learn by heart,暗記する、体で覚える
velocity,速度
rant,怒鳴り立てる、大声で叫ぶ
hesitantly,躊躇して、もじもじして
aberration,脱線行為、妨害行為
leap in,飛び込む、急上昇
persist,固執する、継続する
stem,茎、幹、起源
immaculate,真っ白な、汚れのない
remarkable,目立った、際立った
furnish A with B,AにBを備え付ける
conference,会議。多くの人が集まって話し合う正式な会議。
periscope,潜望鏡
badly off,貧しい
obsequious,へつらいの、こびへつらう
rink,厳格な
aggressive,攻撃的な、侵略的な
what,なに
fall out of favor with,に嫌われる、のお気に入りでなくなる
nutrient,体に必要な栄養素、栄養分。
nobility,尊さ、高貴さ
enough,十分な、十分に。
ecological,生態系や環境に関連すること。
Whom,目的格の関係代名詞「誰を」
gust,突風、突然の風
recognition,認識、認知。物事を理解し、認めること。また、表彰や評価の意味も。
plaintive,哀れな、かわいそうな
borrow,を借りる、を借用する
sprout,芽、新芽
ailing,病んでいる
rest on,に基づく、に頼る
posh,豪華な
stand by,そばに立つ
bereft,奪われた、失った
predecessor,前任者、先任者
lake,湖
workday,通常の業務が行われる日。
employ,採用する、雇う、仕事を与える。
reasonable,合理的な。現実的で無理のない判断や価格などを指します。
take place,発生する。
immediate,即時の、直ちの。時間的な遅れがなく、すぐに行われること。
