mere,単に。ただ、単なる。,たんに。ただ、たんなる。
nomination,推薦、指名、候補,すいせん、しめい、こうほ
nutrition,栄養、栄養学,えいよう、えいようがく
flu,インフルエンザ、風邪の一種,いんふるえんざ、かぜのいっしゅ
find,見つける。探していたものを見つけること。,みつける。さがしていたものをみつけること。
unique,独特な、唯一の、他に類のない。,どくとくな、ゆいいつの、ほかにるいのない。
tone,音色や声の調子。,ねいろやこえのちょうし。
prayer,祈り、祈願,いのり、きがん
informative,情報価値が高い、役立つ情報の,じょうほうかちがたかい、やくたつじょうほうの
lighthouse,船の目印となる灯台。,ふねのめじるしとなるとうだい。
greeting,あいさつ、初対面の言葉や仕草。,あいさつ、しょたいめんのことばやしぐさ。
equal,同等である状態。,どうとうであるじょうたい。
paperwork,事務的な書類作業全般,じむてきなしょるいさぎょうぜんぱん
apply,適用する。特定の規則や方法を実行したり、適用範囲を広げることを意味します。,てきようする。とくていのきそくやほうほうをじっこうしたり、てきようはんいをひろげることをいみします。
lame,理由や説明が不十分な、不自由な状態。,りゆうやせつめいがふじゅうぶんな、ふじゆうなじょうたい。
likewise,同様に。同様に、同じように。,どうように。どうように、おなじように。
book,事前に予約する行為。,じぜんによやくするこうい。
day-to-day,日常的な活動や業務。,にちじょうてきなかつどうやぎょうむ。
timeline,時系列表、予定表,じけいれつおもて、よていひょう
numerous,多数の、数多くの,たすうの、かずおおくの
understaffed,人手不足の、必要なスタッフが不足している。,ひとでぶそくの、ひつようなすたっふがふそくしている。
shove,押す、突き飛ばす,おす、つきとばす
obviously,明らかに、明白に、当然のことながら。,あきらかに、めいはくに、とうぜんのことながら。
indicated,示された。何かを示唆したり、明らかにしたりすること。,しめされた。なにかをしさしたり、あきらかにしたりすること。
drawer,物を収納する引き出し。,ものをしゅうのうするひきだし。
sum,数の合計を求める。,かずのごうけいをもとめる。
correspondent,特派員、通信員,とくはいん、つうしんいん
lasting,永続的な、長続きする,えいぞくてきな、ながつづきする
strain,緊張させる、こす、濾す,きんちょうさせる、こす、こす
workday,通常の業務が行われる日。,つうじょうのぎょうむがおこなわれるにち。
prejudice,偏見、先入観、差別,へんけん、せんにゅうかん、さべつ
fountain,水を上方に噴き上げる装置,みずをじょうほうにふきあげるそうち
plunge,勢いよく飛び込む、急落する。,いきおいよくとびこむ、きゅうらくする。
appetite,食欲、欲求,しょくよく、よっきゅう
secular,世俗の、宗教に関係ない。,せぞくの、しゅうきょうにかんけいない。
portable,持ち運び可能な、携帯できる,もちはこびかのうな、けいたいできる
aisle,通路、列の間の通り道。特に店舗や劇場などの座席間の通路。,つうろ、つらのまのとおりみち。とくにてんぽやげきじょうなどのざせきまのつうろ。
particularly,特に、とりわけ,とくに、とりわけ
attention,集中して何かに注意を向けること。,しゅうちゅうしてなにかにちゅういをむけること。
predator,捕食動物、略奪者,ほしょくどうぶつ、りゃくだつもの
perform,実行する、演じる、遂行する,じっこうする、えんじる、すいこうする
intellectual,知的な、知性的な,ちてきな、ちせいてきな
destiny,運命、宿命、天命,うんめい、しゅくめい、てんめい
provoke,故意に相手を怒らせたり挑発する。,こいにあいてをいからせたりちょうはつする。
effort,努力、奮闘。目標達成のために払う労力や試み。,どりょく、ふんとう。もくひょうたっせいのためにはらうろうりょくやこころみ。
modification,変更や改良を行うこと。,へんこうやかいりょうをおこなうこと。
rotate,回転する、中心を軸にして動くこと。,かいてんする、ちゅうしんをじくにしてうごくこと。
stride,大きく自信を持って歩くこと。,おおきくじしんをもってあるくこと。
comfortable,快適な。居心地が良く、心地よい状態を指します。,かいてきな。いごこちがよく、ここちよいじょうたいをさします。
hunger,食物が不足する状態。,たべものがふそくするじょうたい。
awful,ひどい、恐ろしい、不快な,ひどい、おそろしい、ふかいな
quotation,見積価格、引用文,みつもりかかく、いんようぶん
alternate,代替の、交互の,だいたいの、こうごの
melt,溶ける、液体にする,とける、えきたいにする
disaster,災害。自然現象や人為的な要因による大きな被害や損失を引き起こす出来事を指します。,さいがい。しぜんげんしょうやじんいてきなよういんによるおおきなひがいやそんしつをひきおこすできごとをさします。
investigation,詳しい調査、捜査,くわしいちょうさ、そうさ
voucher,引換券、特定の商品の割引や証明。,ひきかえけん、とくていのしょうひんのわりびきやしょうめい。
alley,路地、細い通り、裏通り,ろじ、こまいとうり、うらどおり
plant,植物、工場、設備,しょくぶつ、こうじょう、せつび
statement,声明、または発言。特定の事柄について公的に述べられた意見や説明を指します。,せいめい、またははつげん。とくていのことがらについてこうてきにのべられたいけんやせつめいをさします。
pastor,宗教的指導者、牧師。,しゅうきょうてきしどうしゃ、ぼくし。
compromise,妥協、譲歩、和解,だきょう、じょうほ、わかい
trip,旅行や短期間の外出。,りょこうやたんきかんのがいしゅつ。
examiner,ある対象を審査または評価する人。,あるたいしょうをしんさまたはひょうかするにん。
swift,素早く、迅速に行動する。,すばやく、じんそくにこうどうする。
dwelling,人が住むための建物や住居。,にんがすむためのたてものやじゅうきょ。
scold,叱る、怒って注意する,しかる、いかってちゅういする
office,事務所。仕事をする場所、オフィス。,じむしょ。しごとをするばしょ、おふぃす。
translate,言語を他の言語に変換。,げんごをほかのげんごにへんかん。
insist,要求する、強く主張する,ようきゅうする、つよくしゅちょうする
considering,検討している、考慮している。何かについて深く考えること。,けんとうしている、こうりょしている。なにかについてふかくかんがえること。
convey,意味を伝える。,いみをつたえる。
temporarily,一時的・暫定的に,いちじてき・ざんていてきに
native,生まれ故郷の、地元の。,うまれこきょうの、じもとの。
congratulate,お祝いする、祝福する。,おいわいする、しゅくふくする。
pinch,指でつまむ、または少し引っ張る。,ゆびでつまむ、またはすこしひっぱる。
summit,山の最高点や会議の頂上。,やまのさいこうてんやかいぎのちょうじょう。
loyalty,忠実、誠実な心、忠誠心,ちゅうじつ、せいじつなこころ、ちゅうせいしん
profitability,収益性、採算性,しゅうえきせい、さいさんせい
obey,規則に従うこと。,きそくにしたがうこと。
depression,不況、憂鬱、落ち込み,ふきょう、ゆううつ、おちこみ
suited,適している、ふさわしい,てきしている、ふさわしい
inlet,海や湖に繋がる小さな入り江。,うみやみずうみにつながるちいさないりえ。
spec,仕様、規格,しよう、きかく
obstacle,前進を妨げるもの。,ぜんしんをさまたげるもの。
contrary,反対の、矛盾する,はんたいの、むじゅんする
cheek,頬、顔の側面,ほお、かおのそくめん
banknotes,紙幣、お金の一種で、通常は銀行によって発行されます。,しへい、おかねのいっしゅで、つうじょうはぎんこうによってはっこうされます。
precise,正確な。誤差が少なく、正確で詳細なことを指します。,せいかくな。ごさがすくなく、せいかくでしょうさいなことをさします。
plumbing,水道や排水の工事。,すいどうやはいすいのこうじ。
